x,y
-4.590684786678876361e-01,-6.393585045626831720e-01
-4.606534666722192917e-01,-6.381132852131697897e-01
-4.622376021239431587e-01,-6.368669824626301823e-01
-4.638212772104163828e-01,-6.356200937656079075e-01
-4.654032744582397574e-01,-6.343710787840102228e-01
-4.669850140789134074e-01,-6.331217358557854613e-01
-4.685647995662337029e-01,-6.318699240162358732e-01
-4.701444218712501066e-01,-6.306179051692867299e-01
-4.717219656052797916e-01,-6.293632685986486619e-01
-4.732993206251820406e-01,-6.281083945661265489e-01
-4.748754615094017417e-01,-6.268519956981831731e-01
-4.764510667813320333e-01,-6.255949261178271881e-01
-4.780254816601583467e-01,-6.243363650622435479e-01
-4.795989998516142494e-01,-6.230766844804065396e-01
-4.811713097250465698e-01,-6.218154946636044178e-01
-4.827425194845507694e-01,-6.205529359117991639e-01
-4.843127429619266122e-01,-6.192891493865829711e-01
-4.858816172176663173e-01,-6.180236894280549675e-01
-4.874497743667233207e-01,-6.167573398088187497e-01
-4.890167417797858795e-01,-6.154895187106855792e-01
-4.905834262052976569e-01,-6.142213475419797675e-01
-4.921483750881622266e-01,-6.129510353866596262e-01
-4.937130623395691309e-01,-6.116804013231086357e-01
-4.952758768989048432e-01,-6.104074642254082583e-01
-4.968381678936396595e-01,-6.091338853593724068e-01
-4.983989156026201184e-01,-6.078584149418398974e-01
-4.999587858236477222e-01,-6.065818724170800591e-01
-5.015174404189026713e-01,-6.053038450093268796e-01
-5.030749917909280722e-01,-6.040244741295525133e-01
-5.046316572228789488e-01,-6.027440246243991329e-01
-5.061873596152751675e-01,-6.014624057374298172e-01
-5.077424800655970794e-01,-6.001800802766871223e-01
-5.092961012417573929e-01,-5.988959394395150238e-01
-5.108489711536906563e-01,-5.976108895420829681e-01
-5.124003083763071231e-01,-5.963239900385975956e-01
-5.139508542676021197e-01,-5.950361369715758686e-01
-5.154998061233255768e-01,-5.937463670886398148e-01
-5.170479950978285055e-01,-5.924556819976519728e-01
-5.185946787757914622e-01,-5.911631930024954240e-01
-5.201406154766428092e-01,-5.898698113327388581e-01
-5.216852121052441005e-01,-5.885748289169540071e-01
-5.232292392763208122e-01,-5.872791681586372325e-01
-5.247720315332244923e-01,-5.859820366100592093e-01
-5.263141561036133176e-01,-5.846841118029151296e-01
-5.278545505176314157e-01,-5.833841336294290914e-01
-5.293941970693698540e-01,-5.820832701551107435e-01
-5.309324097118147678e-01,-5.807807113248327768e-01
-5.324695353110402429e-01,-5.794768699280171687e-01
-5.340055982409077640e-01,-5.781717768661911450e-01
-5.355401845253255910e-01,-5.768649476211864524e-01
-5.370741050781787651e-01,-5.755573372326742154e-01
-5.386061342232281168e-01,-5.742475110280044204e-01
-5.401379158507322309e-01,-5.729373954808475444e-01
